mirna_id,DO27767,DO27777,DO27779,DO27783,DO27789,DO27807,DO27809,DO27811,DO27813,DO27815,DO27827,DO27833,DO27851,DO27853,DO27855,DO27857
hsa-mir-4435-1_mature5p,1.5308021275,33.6440938844,1.9910194475,0.0,3.1072445723000004,9.550324920700001,6.385019771900001,102.1571754721,9.715241548,2.7955090556999997,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4435-2_gene,0.5378261685,11.5445798981,0.6443538966,0.0,1.2911381556000001,2.8824695022,2.644972574,37.629589224200004,3.5570124721,0.8041875366,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4435-2_mature3p,0.0,0.5769128782999999,0.0,0.0,0.0,0.0,0.0,0.2659463659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4435-2_mature5p,1.869586205,39.4461891172,2.2398968784999997,0.0,4.48824216,10.0200130315,9.1944284715,130.436139046,12.266719126300002,2.7955090556999997,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4435mature,6.390053823132897e-07,4.870838429031385e-06,7.394263982357461e-07,3.2869127343451353e-07,5.809013715880125e-07,2.8554208588813554e-06,1.0293905515177565e-06,9.86646151989022e-06,1.96348924758536e-06,4.19022691587231e-07,3.11801823749654e-07,0.0,0.0,7.54959878789681e-08,2.01079960250513e-07,3.0666762892153797e-07
hsa-mir-4436a_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696526196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4436amature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3632243161413706e-08,0.0,0.0,0.0,0.0,0.0,3.77479939394841e-08,0.0,6.13335257843076e-07
hsa-mir-4436b-1_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325045558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4436b-1_mature3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393052393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4436b-2_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325045558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4436b-2_mature3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393052393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4437_gene,0.1607788842,0.0860480225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19900233960000002,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4437_mature3p,0.2371488542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4437_moR5p,0.1437265783,0.0,0.0,0.0,0.0,0.0,0.0,1.0637854636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4437mature,1.74274195176352e-07,3.22572081392807e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38045383174462e-08,0.0,0.0,9.36165145523127e-07,3.77479939394841e-08,0.0,2.0444508594769198e-07
hsa-mir-4438_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1589896753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4438_mature3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313525062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4438mature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72644863228275e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4439_gene,0.0,0.0,0.0330786459,0.0,0.18355031230000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4439_mature5p,0.0,0.0,0.1244387155,0.0,0.6904987937999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4439_moR3p,0.0,0.0,0.1187824102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
